,time,text,deaths,death_score,injuries,injury_score,location,location_score,tweet_loc
0,2021-10-08T16:32:06.000Z,"Today is the 16th anniversary of 2005 Kashmir #earthquake\n\nThere can't be a bigger tragedy than this earthquake which resulted in the death of more than 70,000 people. https://t.co/1tKIOpTcns",70000,"{'70': {'70': 0.6392423510551453, 'none': 0.11550873517990112, '7': 0.057180970907211304, '700': 0.01612863317131996, 'more': 0.013903751038014889}, ',': {',': 0.9303895235061646, '|': 0.008979806676506996, 'k': 0.006939057260751724, 'K': 0.005404143128544092, '63': 0.002654425799846649}, '000': {'000': 0.9856727123260498, '00': 0.0015651972498744726, '0000': 0.0008711635018698871, '200': 0.0008183823665603995, '500': 0.0007932033622637391}}",5000,"{'5000': {'none': 0.20586320757865906, '5000': 0.0987742468714714, '6000': 0.06735818088054657, '70': 0.054976142942905426, '4000': 0.041823647916316986}}",Kashmir,"{'K': {'K': 0.6107715964317322, 'India': 0.15442724525928497, 'J': 0.05592983961105347, 'Pakistan': 0.048592690378427505, 'S': 0.03843998163938522}, 'ash': {'ash': 0.9948281645774841, 'erala': 0.0006741484394297004, 'az': 0.0006432769005186856, 'ASH': 0.0005676898872479796, 'ath': 0.00031844517798162997}, 'mir': {'mir': 0.9990806579589844, 'mire': 0.00019096511823590845, 'm': 0.00014641802408732474, 'imir': 0.00010712173389038071, 'gar': 0.00010546096018515527}}","[69.328873, 27.708226, 75.382124, 34.019989]"
1,2021-10-07T18:23:49.000Z,"Powerful #earthquake rocks #tokyo #japan; 1 person injured, no major damage reported. \n@amritabhinder 😯\n#news #ABC https://t.co/LoplMEtYqY",1,"{'1': {'1': 0.7202242612838745, 'none': 0.1908404380083084, 'in': 0.011824664659798145, ' 1': 0.008450707420706749, 'one': 0.00800096895545721}}",-1,"{'none': {'none': 0.7819507122039795, '0': 0.06622391939163208, 'no': 0.021332448348402977, '1': 0.019884027540683746, 'Japan': 0.016228869557380676}}",Tokyo,"{'Tok': {'Tok': 0.696627676486969, 'Japan': 0.2445393204689026, 'none': 0.007618854288011789, '\n': 0.00738444784656167, 'T': 0.00677635008469224}, 'yo': {'yo': 0.9997336268424988, 'y': 0.00013133406173437834, 'ya': 4.4684162276098505e-05, 'oy': 3.26916306221392e-05, 'io': 1.6183532352442853e-05}}","[76.84252, 28.397657, 77.347652, 28.879322]"
2,2021-10-07T03:34:13.000Z,"The death toll was expected to rise as officials search through the remote mountainous area, said Suhail Anwar Shaheen, the deputy commissioner of the area.\n#earthquake https://t.co/aBBefq2v5v",6000,"{'6000': {'none': 0.28629037737846375, '4000': 0.17364388704299927, '4': 0.0521373488008976, '400': 0.049362655729055405, '6000': 0.03392641991376877}}",4000,"{'4000': {'4000': 0.5036239624023438, '4': 0.08683566749095917, '400': 0.0681580901145935, '40': 0.052258625626564026, 'none': 0.049092430621385574}}",Nepal,"{'N': {'Pakistan': 0.32943007349967957, 'K': 0.07947871088981628, 'S': 0.045998744666576385, 'India': 0.041556403040885925, 'N': 0.036673400551080704}, 'ep': {'ep': 0.8956626653671265, 'ig': 0.04600793495774269, 'iger': 0.007166653871536255, 'ang': 0.006226496770977974, 'ort': 0.005581395700573921}, 'al': {'al': 0.9966249465942383, 'ali': 0.0008405066328123212, 'ales': 0.0005867681466042995, 'a': 0.0004979837103746831, 'alis': 0.00013828507508151233}}","[60.878613, 23.56037, 75.382124, 36.913557]"
3,2021-10-04T11:15:26.000Z,"RT @TODAYshow: The U.S. death toll from COVID-19 has surpassed 700,000, and even though cases are declining, experts are still advising caution, and already warning about the holiday season. @Miguelnbc reports. https://t.co/hhim015oGs #FoxNews #foxandfriends",700,"{'700': {'700': 0.8582426905632019, 'none': 0.046929050236940384, '7': 0.03276175633072853, '70': 0.013764247298240662, '701': 0.00468304893001914}}",-1,"{'none': {'none': 0.19374094903469086, '5000': 0.16571542620658875, '3000': 0.09368700534105301, '4000': 0.08664631098508835, '6000': 0.048604175448417664}}",The U.S.,"{'The': {'United': 0.4056796729564667, 'U': 0.25386786460876465, 'USA': 0.08911599963903427, 'US': 0.04446162283420563, '\n': 0.0338246189057827}, ' U': {' U': 0.551535964012146, ' United': 0.38503414392471313, ' US': 0.0425298847258091, ' USA': 0.009714742191135883, ' united': 0.0019430705578997731}, '.': {'.': 0.9097862839698792, '|': 0.07015518844127655, '.,': 0.009950120933353901, '..': 0.0019746620673686266, './': 0.0017563006840646267}, 'S': {'S': 0.9988395571708679, ' S': 0.0007669905317015946, 'K': 9.304650302510709e-05, 'A': 8.211324893636629e-05, 'N': 6.701888196403161e-05}}","[-82.515067, 42.999457, -82.435668, 43.083925]"
4,2021-09-30T12:37:11.000Z,"The investigation into the Beirut port explosion simply must go on. More than 200 people were killed. And it's the only way to ensure those responsible for the tragedy, and the ongoing economic and humanitarian crisis, can be held accountable https://t.co/l1aHAwc21t #Lebanon",200,"{'200': {'200': 0.6454187631607056, 'none': 0.14514189958572388, 'more': 0.038159482181072235, '20': 0.016933167353272438, '200000': 0.013500298373401165}}",-1,"{'none': {'none': 0.2929612398147583, '5000': 0.06744350492954254, '200': 0.06385423243045807, '4000': 0.0628642663359642, '3000': 0.05723855644464493}}",Lebanon,"{'L': {'L': 0.518189013004303, 'Be': 0.45021042227745056, 'B': 0.007276974152773619, 'be': 0.005160146858543158, 'Le': 0.0025148550048470497}, 'eb': {'eb': 0.9998596906661987, 'iban': 2.9769824323011562e-05, 'em': 1.5204936971713323e-05, 'is': 1.4508652384392917e-05, 'ux': 1.3005473192606587e-05}, 'anon': {'anon': 0.9965941309928894, 'an': 0.002755829831585288, 'on': 0.0001182778287329711, 'o': 4.217326204525307e-05, 'urn': 3.0376262657227926e-05}}","[-79.810142, 43.373074, -79.422004, 43.737414]"
5,2021-09-23T16:52:22.000Z,"@steffaniodaniel @FAIRImmigration @BreitbartNews 8/21 Haiti was hit by an earthquake leaving 2,200 dead, 10K homeless. 1week later a Hurricane, killing 14,caused 500mil in damage. 1month b4 they're Pres was killed leaving the isle lawless. Those are refugees fleeing death &amp; devastation, they have nothing left to go back to.",14,"{'14': {'14': 0.26715654134750366, '2': 0.17657969892024994, 'none': 0.1158037930727005, '8': 0.055130865424871445, '10': 0.0482742004096508}}",5000,"{'5000': {'500': 0.3258323669433594, 'none': 0.1296071708202362, '2': 0.10914018005132675, '5000': 0.08238332718610764, '2000': 0.06170225888490677}}",Haiti,"{'H': {'H': 0.8898795247077942, 'Port': 0.017349889501929283, 'Ha': 0.011289789341390133, 'P': 0.009071599692106247, 'HA': 0.006382666993886232}, 'ait': {'ait': 0.9990943670272827, 'ond': 0.00034043678897432983, 'ai': 0.00010796335845952854, 'oll': 0.00010221765842288733, 'av': 6.15156750427559e-05}, 'i': {'i': 0.998018741607666, 'I': 0.0005185452755540609, 'ian': 0.0004166628059465438, 'is': 0.00022128796263132244, 'ia': 0.00014512418420054018}}","[-85.605166, 30.355644, -80.742567, 35.000771]"
6,2021-09-15T12:14:05.000Z,Gosh. This hits home. I was born 4 months after my father was killed in a plane crash. Blake was his name. \n\nI pray Levi Rylee Rose always carries her daddy’s heroism. She is joy in the midst of unspeakable pain ❤️ https://t.co/cejgh7SslX,4090,"{'40': {'none': 0.5221375823020935, '4': 0.08725795149803162, 'Lev': 0.05129630118608475, '4000': 0.02599569968879223, 'R': 0.022062264382839203}, '90': {'|': 0.42541152238845825, '90': 0.13811089098453522, '95': 0.042451806366443634, '96': 0.03688276931643486, '80': 0.02872433140873909}}",30000,"{'3': {'3': 0.22899580001831055, '6000': 0.11160364001989365, 'none': 0.096208356320858, '3000': 0.06560839712619781, '4000': 0.059737127274274826}, '0000': {'0000': 0.9923604130744934, '|': 0.0021039918065071106, '200': 0.0015154483262449503, ',': 0.0010915364837273955, '100': 0.0009938552975654602}}","Nigel, Virginia","{'N': {'Nice': 0.24416065216064453, 'France': 0.18144477903842926, 'N': 0.06886867433786392, 'USA': 0.05983414500951767, 'United': 0.04177096113562584}, 'igel': {'ICE': 0.36835888028144836, 'ig': 0.16092407703399658, 'iger': 0.03763022646307945, '.': 0.035907015204429626, 'ep': 0.031441234052181244}, ',': {'|': 0.314025342464447, ',': 0.20434017479419708, ' Farage': 0.10355457663536072, ' Rose': 0.10274869948625565, '\n': 0.041839830577373505}, ' Virginia': {' England': 0.19826748967170715, ' UK': 0.08729599416255951, ' Utah': 0.06693216413259506, ' Alabama': 0.05999760329723358, ' Mississippi': 0.046362556517124176}}","[-81.046876, 35.001706, -80.646695, 35.416412]"
7,2021-09-13T04:43:29.000Z,"🧵 I’m on my way to #Haiti, where almost a month ago a devastating 7.2 earthquake hit the southeast.  More than 12k people were injured, around 2K have died, 53K houses have been destroyed. On top of that, the affected areas could be hit by severe #storms in the coming weeks. https://t.co/vFHlEGZtde",12000,"{'12': {'12': 0.5147711634635925, 'none': 0.09824579954147339, '53': 0.05866524204611778, '2': 0.02881539985537529, '3': 0.027928844094276428}, ',': {'k': 0.6874671578407288, '000': 0.12325607240200043, 'K': 0.10218286514282227, ',': 0.05731939524412155, '|': 0.008003581315279007}, '000': {'000': 0.9198175072669983, '9': 0.00702289305627346, '500': 0.006914013531059027, '8': 0.006546056363731623, '0': 0.005259904079139233}}",54000,"{'54': {'2': 0.21296288073062897, '53': 0.10218070447444916, '5000': 0.07359800487756729, '2000': 0.0542677640914917, '6000': 0.04751844331622124}, ',': {',': 0.8277288675308228, '000': 0.09001133590936661, '00': 0.04121018946170807, 'K': 0.01126624085009098, 'k': 0.005754232406616211}, '000': {'000': 0.9579493403434753, '500': 0.0052681006491184235, '600': 0.004796660505235195, '800': 0.002978313947096467, '300': 0.002711785724386573}}",Haiti,"{'H': {'H': 0.9329809546470642, 'Port': 0.02688342146575451, '#': 0.007523806765675545, 'Ha': 0.007012959569692612, 'P': 0.002089285757392645}, 'ait': {'ait': 0.999311089515686, 'ond': 0.0003798670950345695, 'av': 3.911022577085532e-05, 'ai': 3.702881440403871e-05, 'ain': 3.4246055292896926e-05}, 'i': {'i': 0.9984219074249268, 'ian': 0.0006257375935092568, 'í': 0.00023750321997795254, 'ï': 0.00011574983363971114, 'ia': 9.014605893753469e-05}}","[12.1250835, 41.7410238, 12.3174662, 42.020287]"
8,2021-09-08T17:42:40.000Z,"#TPLFTerroristGroup missed a lot of opportunities for a peaceful way. Even after it disregarded the Humanitarian Unilateral Ceasefire, there are nearly a million people displaced in Afar and Amhara regions. Thousands killed, wounded, and property destroyed! #TPLFSURRENDERNOW @UN",13,"{'13': {'none': 0.3309033215045929, '4000': 0.0667039230465889, '1': 0.05617033317685127, '4': 0.034605540335178375, '6000': 0.030065815895795822}}",250000,"{'250': {'none': 0.191584050655365, '5000': 0.06620968133211136, '1000': 0.05888810381293297, '6000': 0.04550520330667496, '4000': 0.038319218903779984}, ',': {'|': 0.6572566032409668, ',': 0.22714181244373322, '3': 0.011486811563372612, '9': 0.011220719665288925, '8': 0.008469843305647373}, '000': {'000': 0.9860451817512512, '00': 0.0033933822996914387, '0000': 0.0013818037696182728, '500': 0.0008852166938595474, '9': 0.0008059989777393639}}",Afar,"{'A': {'A': 0.4670183062553406, 'T': 0.15400630235671997, 'Af': 0.10099979490041733, 'Am': 0.09789235144853592, 'Eth': 0.04999852180480957}, 'far': {'far': 0.9833789467811584, 'fr': 0.008507895283401012, 'fo': 0.0010816574795171618, 'fe': 0.0010816574795171618, 'fa': 0.0010321247391402721}}","[32.9976911, 3.4049624, 47.9994768, 14.8942137]"
9,2021-09-08T15:12:19.000Z,One dead from a 7.4 #earthquake near #PuebloMadero #Mexico and felt for miles. My condolences to the family. I hope there are no more casualties. #snapmap https://t.co/0wgTBVtXTf,1,"{'1': {'1': 0.5860726833343506, 'none': 0.2683236300945282, 'one': 0.06034066900610924, '0': 0.010903336107730865, 'None': 0.00698493979871273}}",2,"{'2': {'none': 0.4546361565589905, '0': 0.04295368492603302, '1000': 0.037028390914201736, '4000': 0.036170631647109985, '5000': 0.031425587832927704}}",Mexico,"{'Mexico': {'P': 0.6158934831619263, 'Mexico': 0.21960359811782837, '\n': 0.0194909255951643, 'none': 0.016671473160386086, 'M': 0.012292773462831974}}","[-115.384091, 36.129459, -115.062159, 36.336371]"
